"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1923 <= Year >= 2024"",""Oceanic Tsunami = true"",""Probable Tsunami <= Validity >= Definite Tsunami""]"																																													
	1949	4	13	19	56		3	3	7			0	"USA"	"PUGET SOUND, WA"	47.167	-122.617		2																8	1					25	4				
	1949	4	16	10	55		4	8				0	"USA"	"PUGET SOUND, WA"	47.3	-122.533	2.4	1											1												1				
	1949	7	23	15	3	35.5	3	1	6.5			0	"GREECE"	"CHIOS ISLAND, AEGEAN ISLANDS"	38.718	26.482	2	4			2													7	1			435	3		4	534	3	5501	4
	1949	8	22	4	1	0	4	3	8.1			0	"CANADA"	"BRITISH COLUMBIA"	53.6	-133.3	0.61	9		-1																									
	1949	10	19	21	0	19	4	1	7.5			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-5.5	154	0.3	5		-1.7	-1																								
	1950	10	5	16	9	31	4	1	7.7			0	"COSTA RICA"	"COSTA RICA-NICARAGUA"	11	-85	2	10		-3.3	-2								1										3		1				
	1950	10	8	3	23	9	3	1	7.6			0	"INDONESIA"	"BANDA SEA"	-3.8	128.3		2		1.5	2	1	1						3		3		3	1	1						3		3		3
	1950	10	23	16	13	20	4	1	7.5			0	"GUATEMALA"	"GUATEMALA"	14.31	-91.917	0.2	5		-1.3	-1																				3		3		
	1950	11	8	2	18	12	3	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON SEA"	-10	159.5	1.2	2																											
	1950	12	2	19	51	49	3	1	7.8			0	"VANUATU"	"VANUATU ISLANDS"	-18.25	167.5	2.5	5																											
	1950	12	14	14	15	49	4	1	7.5			0	"MEXICO"	"S. MEXICO"	16.48	-98.22	0.3	2		-1.5																					3				
	1951	8	21	10	57	0	4	1	6.9			0	"USA"	"HAWAII"	19.5	-156	3.6	7		1.8	0.5								1												1				
	1951	10	22	5	43	1	4	1	7.3			0	"TAIWAN"	"TAIWAN"	23.8	121.7	0.3	2																68	2			586	3		3	2382	4		
